Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.3, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Test 147, loss: 1.467160, test acc: 0.904781, test avg acc: 0.884122
Train 148, loss: 1.401285, train acc: 0.954667, train avg acc: 0.928987
Test 148, loss: 1.459571, test acc: 0.913290, test avg acc: 0.888419
Train 149, loss: 1.401090, train acc: 0.956209, train avg acc: 0.934164
Test 149, loss: 1.458904, test acc: 0.912885, test avg acc: 0.882291
Train 150, loss: 1.396819, train acc: 0.957237, train avg acc: 0.934985
Test 150, loss: 1.463714, test acc: 0.908023, test avg acc: 0.875233
Train 151, loss: 1.397691, train acc: 0.955900, train avg acc: 0.933477
Test 151, loss: 1.463804, test acc: 0.907212, test avg acc: 0.870785
Train 152, loss: 1.399167, train acc: 0.954461, train avg acc: 0.930696
Test 152, loss: 1.453677, test acc: 0.912480, test avg acc: 0.881744
Train 153, loss: 1.393529, train acc: 0.958059, train avg acc: 0.938524
Test 153, loss: 1.448079, test acc: 0.914100, test avg acc: 0.879163
Train 154, loss: 1.394800, train acc: 0.958265, train avg acc: 0.938220
Test 154, loss: 1.474670, test acc: 0.906807, test avg acc: 0.875738
Train 155, loss: 1.396478, train acc: 0.957854, train avg acc: 0.935192
Test 155, loss: 1.479437, test acc: 0.901540, test avg acc: 0.870372
Train 156, loss: 1.394606, train acc: 0.955798, train avg acc: 0.934491
Test 156, loss: 1.459126, test acc: 0.910859, test avg acc: 0.878750
Train 157, loss: 1.392775, train acc: 0.958984, train avg acc: 0.937899
Test 157, loss: 1.461181, test acc: 0.919368, test avg acc: 0.886616
Train 158, loss: 1.393708, train acc: 0.958368, train avg acc: 0.937269
Test 158, loss: 1.458142, test acc: 0.914911, test avg acc: 0.884616
Train 159, loss: 1.391045, train acc: 0.957956, train avg acc: 0.935483
Test 159, loss: 1.480449, test acc: 0.908023, test avg acc: 0.891453
Train 160, loss: 1.387366, train acc: 0.959396, train avg acc: 0.941292
Test 160, loss: 1.459544, test acc: 0.918963, test avg acc: 0.893000
Train 161, loss: 1.387227, train acc: 0.960218, train avg acc: 0.941933
Test 161, loss: 1.438943, test acc: 0.923420, test avg acc: 0.884622
Train 162, loss: 1.387290, train acc: 0.959704, train avg acc: 0.938418
Test 162, loss: 1.446380, test acc: 0.919773, test avg acc: 0.890826
Train 163, loss: 1.388912, train acc: 0.957751, train avg acc: 0.938256
Test 163, loss: 1.468680, test acc: 0.912885, test avg acc: 0.875006
Train 164, loss: 1.389479, train acc: 0.959293, train avg acc: 0.938609
Test 164, loss: 1.477839, test acc: 0.905592, test avg acc: 0.877291
Train 165, loss: 1.392872, train acc: 0.955592, train avg acc: 0.933361
Test 165, loss: 1.461202, test acc: 0.916126, test avg acc: 0.888174
Train 166, loss: 1.391726, train acc: 0.958265, train avg acc: 0.939164
Test 166, loss: 1.471564, test acc: 0.916126, test avg acc: 0.888953
Train 167, loss: 1.386801, train acc: 0.960115, train avg acc: 0.940422
Test 167, loss: 1.456236, test acc: 0.911669, test avg acc: 0.886378
Train 168, loss: 1.384571, train acc: 0.963816, train avg acc: 0.946033
